DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
AV. CNEL. ROCA 1549;"ESC.TEC. 33, DE 19, ""FUND. M. DEL PLUMERILLO""";LUIS ELVERA;1950;S/M;HALLCENTRAL;OLEO SOBRE SOPORTE RIGIDO;ALEGORIA A LA BANDERA
AV. CNEL. ROCA 1549;"ESC.TEC. 33, DE 19, ""FUND. M. DEL PLUMERILLO""";LUIS ELVERA;1950;S/M;HALLCENTRAL;OLEO SOBRE SOPORTE RIGIDO;ALEGORIA AL PLUMERILLO
CIUDAD UNIVERSITARIA;PABELLON 1 FAC. DE CIENCIAS EXACTAS;JUAN MANUEL SANCHEZ;1965;S/M;HALLPRIMER PISO;PINTURA MURAL;LA CIENCIA Y EL MITO
CIUDAD UNIVERSITARIA;PABELLON 1 FAC. DE CIENCIAS EXACTAS;MARIO MOLLARI;1965;S/M;PLANTA BAJA;PINTURA MURAL;LA ESPERA
AV. ALVEAR 1761/77;GALERIA ALVEAR;RAUL ALEJANDRO MONSEGUR;1957;S/M;ACCESO;PINTURA AL OLEO S/ AGLOMERADO;PERSONAJES
AV. CORDOBA 6551;VIVIENDA MULTIFAMILIAR ;CARLOS PFEIFFER, LILIANA FERRARI;1997;10 X 22;FONDO - MEDIANERA;ESGRAFIADO;AMERICA, LIBERACION Y GRANDEZA
ESTACION LIMA;PASAJE LIMA NORTE, LINEA A;HORACIO ALTUNA;2002;S/M;PASAJE;MURAL CERAMICO;GENTE DE BUENOS AIRES
ESTACION LIMA;PASAJE LIMA SUR, LINEA A;HERMENEGILDO SABAT;2000;1.80 X 5;PASAJE;MURAL CERAMICO;MUSICOS DE BUENOS AIRES: A JULIO DE CARO
ESTACION LIMA;PASAJE LIMA SUR, LINEA A;HERMENEGILDO SABAT;2000;1.80 X 5;PASAJE;MURAL CERAMICO;MUSICOS DE BUENOS AIRES: A ASTOR PIAZZOLLA
ESTACION LIMA;PASAJE LIMA SUR, LINEA A;HERMENEGILDO SABAT;2000;1.80 X 5;PASAJE;MURAL CERAMICO;MUSICOS DE BUENOS AIRES: A TROILO, MANZI, DISCEPOLO Y GARDEL
ESTACION  FEDERICO LACROZE;LINEA B;EMMA GARGIULO;2000;S/M;ANDEN SUR;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION  FEDERICO LACROZE;LINEA B;GUSTAVO GRÜNIG;1991;S/M;ANDEN SUR;MURAL CERAMICO;EL DESATINO
ESTACION ANGEL GALLARDO;LINEA B;MARGARITA PAKSA;1991;S/M;ANDEN SUR;MURAL CERAMICO;FLORES DE MI PAIS
ESTACION ANGEL GALLARDO;LINEA B;MARCIA SCHVARTZ ;1991;S/M;ANDEN SUR;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION CALLAO;LINEA B;DANIEL KAPLAN;1991;S/M;ANDEN SUR;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION CALLAO;LINEA B;HECTOR MEANA;1991;S/M;ANDEN SUR;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION CARLOS GARDEL;LINEA B;ANDRES COMPAGNUCCI;2000;S/M;ANDEN SUR;MURAL CERAMICO;GARDEL POR TRES
ESTACION CARLOS GARDEL;LINEA B;ANDRES COMPAGNUCCI;2000;S/M;ANDEN NORTE;MURAL CERAMICO;ABASTO
ESTACION CARLOS GARDEL;LINEA B;CARLOS PAEZ VILARO;1998;S/M;VESTIBULO;MURAL CERAMICO;HOMENAJE A BUENOS AIRES
ESTACION CARLOS GARDEL;LINEA B;CARLOS PAEZ VILARO;1998;S/M;VESTIBULO;MURAL CERAMICO;MI BUENOS AIRES QUERIDO
ESTACION CARLOS GARDEL;LINEA B;LEON UNTROIB;2000;S/M;VESTIBULO;FILETE;CARLOS GARDEL: ETERNO EN EL ALMA Y EN EL TIEMPO
ESTACION DORREGO;LINEA B;ROBERTO SCAFIDI;1991;S/M;ANDEN SUR;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION DORREGO;LINEA B;J. CACERES;1991;S/M;ANDEN SUR;MURAL CERAMICO;CANTO DE AMOR PARA AMERICA LATINA
ESTACION DORREGO;LINEA B;MILDRED BURTON / PASSOLINI, SUNDBLAD;1991;S/M;ANDEN NORTE;MURAL CERAMICO;A 3 NIÑAS ARGENTINAS INMOLADAS, GIMENA HERNANDEZ, NAHIR MOSTAFA Y MARIA SOLEDAD MORALES
ESTACION DORREGO;LINEA B;CAMBRE;1991;S/M;ANDEN SUR;MURAL CERAMICO;EL DUENDE ESTA EN CADA MOVIMIENTO DE NUESTRAS VIDAS
ESTACION FLORIDA;LINEA B;MARIANO IMPOSTI INDART;1998;S/M;ANDEN NORTE;MURAL CERAMICO;HOMENAJE A PATORUZU
ESTACION MEDRANO;LINEA B;JUAN PABLO RENZI, COL.: ARTURO HOLZER;1991;S/M;ANDEN SUR;MURAL CERAMICO;DURANTE LA CRIMINAL GUERRA DEL GOLFO
ESTACION MEDRANO;LINEA B;RICARDO ROUX;1991;S/M;ANDEN NORTE;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION PUEYRREDON;LINEA B;JUAN DOFFO;1991;S/M;ANDEN SUR;MURAL CERAMICO;LOS ELEMENTOS
ESTACION URUGUAY;LINEA B;FRANCISCO SOLANO LOPEZ / ALBERTO BRECCIA;1991;S/M;ANDEN SUR;MURAL CERAMICO;HOMENAJE A EL ETERNAUTA
ESTACION URUGUAY;LINEA B;ROBERTO FONTANARROSA;1998;S/M;ANDEN NORTE;MURAL CERAMICO;INODORO PEREYRA
ESTACION URUGUAY;LINEA B;CRIST (CRISTOBAL REYNOSO);1991;S/M;ANDEN NORTE;MURAL CERAMICO;TITULO DESCONOCIDO
ESTACION SAN MARTIN;LINEA B;LUIS BENEDIT;2000;S/M;ANDEN NORTE;MURAL CERAMICO;SUR
