long,lat,id,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
-58.3840678491549,-34.6021056176248,1,D,TRIBUNALES - TEATRO COLÓN,4,a Catedral y Congreso de Tucumán,,True,True,False,False,False,False,Libertad,556,,San Nicolas,Comuna 1,Andén central,Boca de subte,LIBERTAD 556,Libertad 556
-58.3843723055347,-34.6023944587686,2,D,TRIBUNALES - TEATRO COLÓN,5,a Catedral y Congreso de Tucumán,,True,True,False,False,False,False,Lavalle,1221,,San Nicolas,Comuna 1,Andén central,Boca de subte,LAVALLE 1221,Lavalle 1221
-58.3972499423143,-34.5878038772456,3,H,LAS HERAS,1,a Hospitales,,False,True,True,False,False,False,Pueyrredon,2199,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 2199
-58.4039666149165,-34.5987326431427,4,H,CÓRDOBA,1,a Las Heras y Hopitales,,False,True,True,True,False,False,Pueyrredon,984,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 984
-58.4054057644512,-34.6038839232256,5,H,CORRIENTES,6,a Las Heras y Hospitales,B,False,False,False,True,False,False,Pueyrredón,558,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 558
-58.4052371934884,-34.604169687116,6,H,CORRIENTES,3,a Las Heras y Hospitales,B,False,True,False,False,False,False,Pueyrredón,539,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 539
-58.4050865477138,-34.6035504029818,7,H,CORRIENTES,1,Salida únicamente,B,False,False,True,False,False,False,Pueyrredón,589,,,,Salida únicamente,Boca de subte,,Pueyrredón 589
-58.4053121101366,-34.6035012444988,8,H,CORRIENTES,2,a Las Heras y Hospitales,B,False,True,False,False,False,False,Pueyrredón,590,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 590
-58.4053520242245,-34.6036782701799,9,H,CORRIENTES,4,Salida únicamente,B,False,False,True,False,False,False,Pueyrredón,574,,,,Salida únicamente,Boca de subte,,Pueyrredón 574
-58.3973860117587,-34.6230746589813,10,E,PICHINCHA,1,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2277,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2277
-58.3970349162311,-34.6230276879668,11,E,PICHINCHA,3,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2245,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2245
-58.3973383456719,-34.6232758394604,12,E,PICHINCHA,4,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2266,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2266
-58.3969905337852,-34.6232315157021,13,E,PICHINCHA,2,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2254,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2254
-58.3917454880174,-34.6226516085745,14,E,ENTRE RIOS - RODOLFO WALSH,1,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,1809,,,,Vestíbulo intermedio,Boca de subte,,San Juan 1809
-58.4551830835685,-34.5867982838458,15,B,FEDERICO LACROZE,6,a L. N. Alem,,False,True,False,False,False,False,Federico Lacroze,680,,,,Andén a Leandro N. Alem,Boca de subte,,Federico Lacroze 680
-58.4056377847633,-34.6047427980509,16,B,PUEYRREDON,2,a L. N. Alem y J. M. de Rosas,H,False,True,False,False,False,False,Pueyrredón,496,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 496
-58.4055197713612,-34.6043682500182,17,B,PUEYRREDON,1,a L. N. Alem y J. M. de Rosas,H,False,True,False,False,False,False,Pueyrredón,510,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 510
-58.3982823428569,-34.6095432874133,18,A,PASCO,3,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,2243,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2243
-58.3986691942837,-34.609570070278,19,A,PASCO,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,2283,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2283
-58.392680374036,-34.6091377398446,20,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,1837,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 1837
-58.3930104502719,-34.609349615745,21,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,2,Salida unicamente,,False,False,True,False,False,False,Rivadavia,1864,,,,Salida unicamente,Boca de subte,,Rivadavia 1864
-58.3926626257408,-34.6093309032097,22,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,4,a San Pedrito,,False,True,False,False,False,False,Rivadavia,1820,,,,Solo anden a San Pedrito,Boca de subte,,Rivadavia 1820
-58.3923680169221,-34.6091050490805,23,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,3,Salida unicamente,,False,False,True,False,False,False,Rivadavia,1815,,,,Salida unicamente,Boca de subte,,Rivadavia 1815
-58.4028219030811,-34.5952234173066,24,D,PUEYRREDON,3,a Catedral y Congreso de Tucumán,H,False,True,False,False,False,False,Puerredón,1340,,,,Andén central,Boca de subte,,Puerredón 1340
-58.3706685126922,-34.6087035224052,25,A,PLAZA DE MAYO,3,a San Pedrito,,False,True,False,False,False,False,Hipólito Yrigoyen,299,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 299",Hipólito Yrigoyen 299
-58.3699970382755,-34.6089412404332,26,A,PLAZA DE MAYO,2,a San Pedrito,,False,True,False,False,False,False,Hipólito Yrigoyen,250,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 250",Hipólito Yrigoyen 250
-58.3718161353078,-34.6087869119957,27,A,PLAZA DE MAYO,1,a San Pedrito,,True,True,False,False,False,False,Hipólito Yrigoyen,399,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 399",Hipólito Yrigoyen 399
-58.3739915502154,-34.6084332539155,28,A,PERU,5,a Pza. de Mayo,E-D,True,True,False,False,False,False,Avenida de Mayo,567,,Monserrat,Comuna 1,Sólo andén a Pza. de Mayo,Boca de subte,DE MAYO AV. 567,Avenida de Mayo 567
-58.374368353986,-34.6084684968012,29,A,PERU,3,Salida Únicamente,E-D,False,False,True,False,False,False,Avenida de Mayo,597,,Monserrat,Comuna 1,Salida Únicamente,Boca de subte,DE MAYO AV. 597,Avenida de Mayo 597
-58.3738605085306,-34.6086377492182,30,A,PERU,6,a San Pedrito,E-D,False,False,True,False,False,False,Avenida de Mayo,556,,Monserrat,Comuna 1,Sólo andén a San Pedrito,Boca de subte,DE MAYO AV. 556,Avenida de Mayo 556
-58.3743564522875,-34.6086805334336,31,A,PERU,4,a Pza. de Mayo,E-D,False,True,False,False,False,False,Avenida de Mayo,600,,Monserrat,Comuna 1,Sólo andén a San Pedrito,Boca de subte,DE MAYO AV. 600,Avenida de Mayo 600
-58.3786809630826,-34.6089709565305,32,A,PIEDRAS,2,a San Pedrito,,False,True,False,False,False,False,Avenida de Mayo,866,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 866,Avenida de Mayo 866
-58.3787193169857,-34.6087653388349,33,A,PIEDRAS,1,a Plaza de Mayo,,False,True,False,False,False,False,Avenida de Mayo,869,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 869,Avenida de Mayo 869
-58.3783081751575,-34.6089484916123,34,A,PIEDRAS,4,a San Pedrito,,False,True,False,False,False,False,Avenida de Mayo,840,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 840,Avenida de Mayo 840
-58.3783188050851,-34.6087358606999,35,A,PIEDRAS,3,Salida unicamente,,False,False,True,False,False,False,Avenida de Mayo,839,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 839,Avenida de Mayo 839
-58.3824171004639,-34.6092347600339,36,A,LIMA,4,a San Pedrito,C,False,True,False,False,False,False,Avenida de Mayo,1130,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1130,Avenida de Mayo 1130
-58.3824349786336,-34.6090155279408,37,A,LIMA,3,Salida unicamente,C,False,False,True,False,False,False,Avenida de Mayo,1129,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1129,Avenida de Mayo 1129
-58.3827488721215,-34.6090407229121,38,A,LIMA,1,a Plaza de Mayo,C,False,True,False,False,False,False,Avenida de Mayo,1157,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 1157,Avenida de Mayo 1157
-58.3827948596929,-34.6092552306389,39,A,LIMA,2,a San Pedrito,C,False,True,False,False,False,False,Avenida de Mayo,1156,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1156,Avenida de Mayo 1156
-58.3865661989038,-34.6095085863597,40,A,SAENZ PEÑA,4,a San Pedrito,,False,True,False,False,False,False,Avenida de Mayo,1430,,Monserrat,Comuna 1,Solo anden a San Pedrito,Boca de subte,DE MAYO AV. 1430,Avenida de Mayo 1430
-58.3865805439127,-34.6093084705352,41,A,SAENZ PEÑA,3,Salida unicamente,,False,False,True,False,False,False,Avenida de Mayo,1431,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1431,Avenida de Mayo 1431
-58.3870194552684,-34.6095456097624,42,A,SAENZ PEÑA,2,Salida unicamente,,False,False,True,False,False,False,Avenida de Mayo,1480,,Monserrat,Comuna 1,Salida unicamente,Boca de subte,DE MAYO AV. 1480,Avenida de Mayo 1480
-58.3870377273487,-34.6093283204226,43,A,SAENZ PEÑA,1,a Plaza de Mayo,,False,True,False,False,False,False,Avenida de Mayo,1487,,Monserrat,Comuna 1,Solo anden a Plaza de Mayo,Boca de subte,DE MAYO AV. 1487,Avenida de Mayo 1487
-58.4010391387775,-34.6099411157351,44,A,ALBERTI,2,a San Pedrito,,False,True,False,False,False,False,Rivadavia,2450,,Balvanera,Comuna 3,Solo anden a San Pedrito,Boca de subte,RIVADAVIA AV. 2450,Rivadavia 2450
-58.4007281407058,-34.6099124093555,45,A,ALBERTI,4,a San Pedrito,,False,True,False,False,False,False,Rivadavia,2408,,Balvanera,Comuna 3,Solo anden a San Pedrito,Boca de subte,RIVADAVIA AV. 2408,Rivadavia 2408
-58.4066197226993,-34.6102746554203,46,A,PLAZA MISERERE,1,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Rivadavia,2836,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,RIVADAVIA AV. 2836,Rivadavia 2836
-58.4070028175776,-34.6102897504497,47,A,PLAZA MISERERE,2,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Rivadavia,2860,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,RIVADAVIA AV. 2860,Rivadavia 2860
-58.4065807768747,-34.6100278289863,48,A,PLAZA MISERERE,3,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Rivadavia,2829,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,RIVADAVIA AV. 2829,Rivadavia 2829
-58.406876743847,-34.610042080708,49,A,PLAZA MISERERE,4,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Rivadavia,2837,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,RIVADAVIA AV. 2837,Rivadavia 2837
-58.4062256246894,-34.6093567533449,50,A,PLAZA MISERERE,5,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,B.Mitre,2802,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,"MITRE, BARTOLOME 2802",B.Mitre 2802
-58.4061803963753,-34.6090666304754,51,A,PLAZA MISERERE,10,a Plaza de Mayo y San Pedrito,H,False,True,True,False,False,False,B.Mitre,2820,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,"MITRE, BARTOLOME 2820",B.Mitre 2820
-58.4058373186737,-34.6085386193,52,A,PLAZA MISERERE,7,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Pueyrredón,123,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,PUEYRREDON AV. 123,Pueyrredón 123
-58.4062820538246,-34.608448059814,53,A,PLAZA MISERERE,8,a Plaza de Mayo y San Pedrito,H,False,True,False,False,False,False,Pueyrredón,136,,Balvanera,Comuna 3,Vestibulo intermedio,Boca de subte,PUEYRREDON AV. 136,Pueyrredón 136
-58.4150939762167,-34.6106901574639,55,A,LORIA,3,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,3431,,Almagro,Comuna 5,Solo anden a Plaza de Mayo,Boca de subte,RIVADAVIA AV. 3431,Rivadavia 3431
-58.4149002042816,-34.6108602053347,56,A,LORIA,4,a San Pedrito,,False,True,False,False,False,False,Rivadavia,3434,,Almagro,Comuna 5,Solo anden a San Pedrito,Boca de subte,RIVADAVIA AV. 3434,Rivadavia 3434
-58.4153385245978,-34.6106986429253,57,A,LORIA,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,3463,,Almagro,Comuna 5,Solo anden a Plaza de Mayo,Boca de subte,RIVADAVIA AV. 3463,Rivadavia 3463
-58.4153199886375,-34.6108914175121,58,A,LORIA,2,Salida unicamente,,False,False,True,False,False,False,Rivadavia,3466,,Almagro,Comuna 5,Salida unicamente,Boca de subte,RIVADAVIA AV. 3466,Rivadavia 3466
-58.4214965270379,-34.6117923750206,59,A,CASTRO BARROS,4,Salida unicamente,,False,False,True,False,False,False,Rivadavia,3928,,Almagro,Comuna 5,Salida unicamente,Boca de subte,RIVADAVIA AV. 3928,Rivadavia 3928
-58.4215760259624,-34.6116083691185,60,A,CASTRO BARROS,3,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,3929,,Almagro,Comuna 5,Solo anden a Plaza de Mayo,Boca de subte,RIVADAVIA AV. 3929,Rivadavia 3929
-58.4218921493276,-34.6117456511489,61,A,CASTRO BARROS,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,3959,,Almagro,Comuna 5,Solo anden a Plaza de Mayo,Boca de subte,RIVADAVIA AV. 3959,Rivadavia 3959
