;WKT;NOMBRE;CARACT_SIT;AUTORES;TECNICA;F_E;TAMAÑO_TS;UBICACION;DIRECCION;DOM_ORIG;CALLE;ALTURA;BARRIO;COMUNA
0;POINT (-58.3843530922336 -34.5975348140559);MATER GALECIAE;GALERIA LAS VICTORIAS;LUIS SEOANE;FIGURAS DE HIERRO S/ MOSAICO VENECIANO;1953.0;S/M;ACCESOPOR LIBERTAD;LIBERTAD 948;LIBERTAD 948 / 56;LIBERTAD;942;Retiro;Comuna 1
1;POINT (-58.3741921638092 -34.6116201690093);SIN TITULO;CASA NAC.DE LA MUSICA,EX BIBL.NAC.;ARQ. CARLOS MORRA;VITRAUX  CLARABOYA;1901.0;S/M;EX SALA DE LECTURA;MORENO 560;MORENO 560 / 84;MORENO;550;Monserrat;Comuna 1
2;POINT (-58.3851629076421 -34.6123693095443);INDUSTRIA;UNION PERSONAL CIVIL DE LA NACION;AUTOR DESCONOCIDO;PINTURA MURAL;1910.0;5 X 5;CIELORRASO S/ HALLCENTRAL;MORENO 1330;MORENO 1330 / 32;MORENO;1332;Monserrat;Comuna 1
3;POINT (-58.3851629076421 -34.6123693095443);FIGURA FEMENINA;UNION PERSONAL CIVIL DE LA NACION;AUTOR DESCONOCIDO;PINTURA MURAL;1910.0;2 X 4;TECHO ACCESO;MORENO 1330;MORENO 1330 / 32;MORENO;1332;Monserrat;Comuna 1
4;POINT (-58.3851629076421 -34.6123693095443);EL DIA;UNION PERSONAL CIVIL DE LA NACION;AUTOR DESCONOCIDO;VITRAUX;1910.0;2.90 X 3.50;HALL1s PISO;MORENO 1330;MORENO 1330 / 32;MORENO;1332;Monserrat;Comuna 1
5;POINT (-58.3851629076421 -34.6123693095443);LA NOCHE;UNION PERSONAL CIVIL DE LA NACION;AUTOR DESCONOCIDO;VITRAUX;1910.0;2.90 X 3.50;HALL1s PISO;MORENO 1330;MORENO 1330 / 32;MORENO;1332;Monserrat;Comuna 1
6;POINT (-58.3800547026695 -34.6119811748678);GRABANDO;OFICINAS;RODOLFO JULIO BARDI;RELIEVE;1968.0;S/M;"ESTUDIO DE GRABACION TNT""""";MORENO 970;MORENO 970;MORENO;970;Monserrat;Comuna 1
7;POINT (-58.3716153063414 -34.6114614174096);TRAFICO;OFICINAS;GUSTAVO VAN TREECK, MUNICH;VITRAUX;1920.0;S/M;ESCALERA;MORENO 376;MORENO 376;MORENO;376;Monserrat;Comuna 1
8;POINT (-58.3716153063414 -34.6114614174096);COMERCIO;OFICINAS;GUSTAVO VAN TREECK, MUNICH;VITRAUX;1920.0;S/M;ESCALERA;MORENO 376;MORENO 376;MORENO;376;Monserrat;Comuna 1
9;POINT (-58.3716153063414 -34.6114614174096);GANADERIA;OFICINAS;GUSTAVO VAN TREECK, MUNICH;VITRAUX;1920.0;S/M;ESCALERA;MORENO 376;MORENO 376;MORENO;376;Monserrat;Comuna 1
10;POINT (-58.3716153063414 -34.6114614174096);AGRICULTURA;OFICINAS;GUSTAVO VAN TREECK, MUNICH;VITRAUX;1920.0;S/M;ESCALERA;MORENO 376;MORENO 376;MORENO;376;Monserrat;Comuna 1
11;POINT (-58.3716153063414 -34.6114614174096);INDUSTRIA;OFICINAS;GUSTAVO VAN TREECK, MUNICH;VITRAUX;1920.0;S/M;ESCALERA;MORENO 376;MORENO 376;MORENO;376;Monserrat;Comuna 1
12;POINT (-58.4549124818252 -34.5604171054783);FIGURAS;VIVIENDA MULTIFAMILIAR;LUIS SEOANE;;0.0;S/M;HALL;CUBA 2141;CUBA 2141;CUBA;2131;Belgrano;Comuna 13
13;POINT (-58.3787842678166 -34.5924820468288);TITULO DESCONOCIDO;VIVIENDA MULTIFAMILIAR;BERNARDO BOUTS;FRESCO;1944.0;4.50 X 2;HALL;ARROYO 810;ARROYO 810;ARROYO;810;Retiro;Comuna 1
14;POINT (-58.3800547026695 -34.6119811748678);GRABANDO;ESTUDIOS DE GRABACION TNT;RODOLFO JULIO BARDI;RELIEVE EN CEMENTO PATINADO;1968.0;S/M;;MORENO 970;MORENO 970;MORENO;970;Monserrat;Comuna 1
15;POINT (-58.3762646421794 -34.6020971645339);ORNAMENTACION;EX CINE LUXOR;MAXIMO MALDONADO / MIGUEL OCAMPO;FRESCO;1944.0;2.50 X 6;;LAVALLE 669;LAVALLE 669;LAVALLE;663;San Nicolas;Comuna 1
16;POINT (-58.3764072150406 -34.6113965360295);LAS PALOMAS;INST.UNIV J.PERON, ESC.NAC.MUSEOLOGIA/OTROS;MATILDE GRANT;PINTURA MURAL;1980.0;S/M;FACHADA;MORENO 711;MORENO 711;ROCA, JULIO A., PRESIDENTE AV.;699;Monserrat;Comuna 1
17;POINT (-58.3738743618862 -34.5996968552746);SANTA CATALINA DE SIENA;SANTA CATALINA DE SIENA;EDUARDO PLA;GIGANTOGRAFIA;1999.0;S/M;FACHADA;SAN MARTIN 705;SAN MARTIN 705;VIAMONTE;494;San Nicolas;Comuna 1
18;POINT (-58.3984474714395 -34.605852823047);;SOC. HEBRAICA ARGENTINA;LUIS SEOANE;VITRAL;1945.0;4 X 2;;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
19;POINT (-58.3984474714395 -34.605852823047);EL PUEBLO HEBREO;SOC. HEBRAICA ARGENTINA;JUAN BATLLE PLANAS;MOSAICO VENECIANO;1945.0;4 X 2;HALL;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
20;POINT (-58.3984474714395 -34.605852823047);EXODO;SOC. HEBRAICA ARGENTINA;JUAN BATLLE PLANAS;MOSAICO VENECIANO;1945.0;6 X 2;HALL;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
21;POINT (-58.3984474714395 -34.605852823047);LA OFRENDA DE LA NUEVA TIERRA;SOC. HEBRAICA ARGENTINA;JUAN CARLOS CASTAGNINO;FRESCO;1943.0;3.50 X 3.50;BAR;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
22;POINT (-58.3984474714395 -34.605852823047);LA CULTURA DIGNIFICA A LOS HOMBRES Y HERMANA A LOS PUEBLOS;SOC. HEBRAICA ARGENTINA;DEMETRIO URRUCHUA;FRESCO;1943.0;4 X 5;OFICINA;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
23;POINT (-58.3984474714395 -34.605852823047);LAS ARTES;SOC. HEBRAICA ARGENTINA;ANTONIO BERNI;FRESCO;1943.0;3 X 2;ESCALERA;SARMIENTO 2233;SARMIENTO 2233;SARMIENTO;2227;Balvanera;Comuna 3
24;POINT (-58.426028241004 -34.6117523963827);RESISTENCIA Y LUCHA;CENTRO CULTURAL IMPA;BALTAZAR LEIRO;PINTURA MURALCON TEXTURAS DE METAL;2002.0;S/M;FACHADA;RAWSON 106;RAWSON 106;RAWSON;96;Almagro;Comuna 5
25;POINT (-58.3836968936888 -34.6009493085898);SIN TITULO;TEATRO COLON;CASA FELIX GAUDIN, PARIS;VITRAUX SOMBRILLA CENTRAL;1907.0;14 X 3.14;VESTIBULO PRINCIPAL;LIBERTAD 641;LIBERTAD 641;TOSCANINI ARTURO;1173;San Nicolas;Comuna 1
26;POINT (-58.3836968936888 -34.6009493085898);ALEGORIA A LA MUSICA, AL CANTO Y AL BAILE;TEATRO COLON;RAUL SOLDI;OLEO S/ LIENZO APLICADO;1966.0;320;CUPULA;LIBERTAD 641;LIBERTAD 641;TOSCANINI ARTURO;1173;San Nicolas;Comuna 1
27;POINT (-58.3886484868786 -34.6052255636653);DESPLAZAMIENTOS;CENTRO CULTURAL SAN MARTIN;JULIO LE PARC;MURAL MADERA, CHAPA Y ACERO INOXIDABLE;1967.0;S/M;CENTRO CULTURAL;SARMIENTO 1551;SARMIENTO 1551;SARMIENTO;1527;San Nicolas;Comuna 1
28;POINT (-58.3806379583038 -34.6050982038628);TITULO DESCONOCIDO;EDIFICIO DEL PLATA;BURNICHON / MELE / OBARRIO;MURAL CERAMICO;0.0;S/M;FACHADA;SARMIENTO 980;SARMIENTO 980;SARMIENTO;980;San Nicolas;Comuna 1
