"rank","name","channel_Info","Category","Posts","Followers","Avg. Likes","Eng Rate"
"1","instagram","brand","photography","7.3K","580.1M","7.31K","0.1%"
"2","cristiano","male","Health, Sports & Fitness","3.4K","519.9M","3.41K","1.4%"
"3","leomessi","male","Health, Sports & Fitness","1K","403.7M","0.97K","1.7%"
"4","kyliejenner","female","entertainment","7K","375.9M","7.02K","1.7%"
"5","selenagomez","female","entertainment","1.8K","365.3M","1.85K","1.1%"
"6","therock","male","entertainment","7K","354.3M","7.03K","0.3%"
"7","arianagrande","female","entertainment","5K","345.6M","4.98K","1.4%"
"8","kimkardashian","female","entertainment","5.7K","336.3M","5.73K","0.9%"
"9","beyonce","female","entertainment","2.1K","287.3M","2.05K","1%"
"10","khloekardashian","female","entertainment","4.2K","283.9M","4.19K","0.5%"
"11","justinbieber","male","entertainment","7.4K","270.2M","7.39K","0.5%"
"12","nike","brand","Health, Sports & Fitness","1K","257.6M","1.03K","0.1%"
"13","taylorswift","male","entertainment","562","236.2M","1","1.3%"
"14","jlo","female","entertainment","220","228.8M","220","0.5%"
"15","virat.kohli","male","","1.5K","228M","1.48K","1.2%"
"16","kendalljenner","male","","731","223.4M","731","2.3%"
"17","natgeo","brand","entertainment","26.7K","220.6M","26.71K","0.1%"
"18","nickiminaj","female","entertainment","6.4K","206.8M","6.44K","0.8%"
"19","kourtneykardash","female","entertainment","4.4K","206.2M","4.42K","0.8%"
"20","kendalljenner","male","","824","204.4M","824","2.5%"
"21","neymarjr","male","Health, Sports & Fitness","5.4K","196.2M","5.39K","1.5%"
"22","natgeo","male","","26K","196.1M","26.02K","0.1%"
"23","mileycyrus","female","entertainment","1.2K","189.9M","1.18K","0.5%"
"24","katyperry","female","entertainment","2.1K","179.8M","2.09K","0.3%"
"25","zendaya","female","entertainment","3.5K","161.8M","3.54K","4.1%"
"26","kevinhart4real","male","entertainment","8.4K","157.6M","8.40K","0.2%"
"27","iamcardib","male","entertainment","1.6K","145.6M","1.65K","1.8%"
"28","ddlovato","female","entertainment","68","143.5M","68","0.3%"
"29","badgalriri","female","entertainment","4.9K","139.2M","4.86K","2.7%"
"30","kingjames","male","Health, Sports & Fitness","2.4K","139.2M","2.41K","0.9%"
"31","champagnepapi","male","entertainment","297","127.6M","297","1.2%"
"32","theellenshow","female","entertainment","10.7K","127.1M","10.75K","0.1%"
"33","chrisbrownofficial","male","entertainment","7.5K","125.5M","7.45K","0.3%"
"34","realmadrid","community","Health, Sports & Fitness","6.5K","120.9M","6.53K","0.6%"
"35","fcbarcelona","community","Health, Sports & Fitness","17.6K","113.6M","17.56K","0.8%"
"36","billieeilish","female","entertainment","737","107.4M","737","5.9%"
"37","championsleague","male","Health, Sports & Fitness","18.9K","99.9M","18.95K","0.4%"
"38","gal_gadot","male","entertainment","1.7K","91.6M","1.71K","1.2%"
"39","dualipa","female","entertainment","1.4K","87.5M","1.39K","2.4%"
"40","k.mbappe","male","Health, Sports & Fitness","1.2K","87.2M","1.20K","3.4%"
"41","nasa","community","technology","3.7K","85.8M","3.69K","1.1%"
"42","lalalalisa_m","female","entertainment","0.9K","85.5M","0.93K","8.1%"
"43","vindiesel","male","entertainment","1.8K","84.9M","1.84K","1.2%"
"44","priyankachopra","female","entertainment","3.6K","83.9M","3.61K","1.2%"
"45","khaby00","male","entertainment","317","80.2M","317","8.1%"
"46","shakira","female","entertainment","2K","77.7M","2.04K","1%"
"47","snoopdogg","male","entertainment","55.3K","77.6M","55.25K","0.2%"
"48","shraddhakapoor","female","entertainment","1.9K","76.7M","1.91K","1.6%"
"49","gigihadid","female","fashion","3.3K","76.4M","3.29K","3.4%"
"50","davidbeckham","male","Health, Sports & Fitness","1.6K","76.2M","1.59K","1.1%"
"51","victoriassecret","brand","fashion","3.1K","73.8M","3.14K","0.1%"
"52","aliaabhatt","female","entertainment","1.9K","73.6M","1.90K","2%"
"53","nehakakkar","female","entertainment","2.4K","72.9M","2.38K","1.3%"
"54","nba","community","Health, Sports & Fitness","53K","72.6M","52.95K","0.3%"
"55","jennierubyjane","female","entertainment","0.9K","72.4M","0.93K","8.7%"
"56","shawnmendes","male","entertainment","2.5K","71M","2.55K","3.1%"
"57","narendramodi","male","News & Politics","559","70.9M","559","3.3%"
"58","deepikapadukone","female","entertainment","347","70.5M","347","1.4%"
"59","katrinakaif","female","entertainment","1.1K","68.9M","1.05K","2.6%"
"60","emmawatson","female","entertainment","417","68.8M","417","1.1%"
"61","ronaldinho","male","Health, Sports & Fitness","3K","68.3M","3.02K","1%"
"62","tomholland2013","male","entertainment","1.2K","67.7M","1.22K","9.9%"
"63","justintimberlake","male","entertainment","790","67.5M","790","0.7%"
"64","marvel","community","entertainment","7.4K","67M","7.39K","0.4%"
