rango,nombre,descripcion,categoria,publicaciones,seguidores,me_gusta_promedio,tasa_participacion
1,instagram,brand,photography,7300.0,580100000.0,7310.0,0.1
2,cristiano,male,"Health, Sports & Fitness",3400.0,519900000.0,3410.0,1.4
3,leomessi,male,"Health, Sports & Fitness",1000.0,403700000.0,970.0,1.7
4,kyliejenner,female,entertainment,7000.0,375900000.0,7020.0,1.7
5,selenagomez,female,entertainment,1800.0,365300000.0,1850.0,1.1
6,therock,male,entertainment,7000.0,354300000.0,7030.0,0.3
7,arianagrande,female,entertainment,5000.0,345600000.0,4980.0,1.4
8,kimkardashian,female,entertainment,5700.0,336300000.0,5730.0,0.9
9,beyonce,female,entertainment,2100.0,287300000.0,2050.0,1.0
10,khloekardashian,female,entertainment,4200.0,283900000.0,4190.0,0.5
11,justinbieber,male,entertainment,7400.0,270200000.0,7390.0,0.5
12,nike,brand,"Health, Sports & Fitness",1000.0,257600000.00000003,1030.0,0.1
13,taylorswift,male,entertainment,562000.0,236200000.0,1000.0,1.3
14,jlo,female,entertainment,220000.0,228800000.0,220000.0,0.5
15,virat.kohli,male,entertainment,1500.0,228000000.0,1480.0,1.2
16,kendalljenner,male,entertainment,731000.0,223400000.0,731000.0,2.3
17,natgeo,brand,entertainment,26700.0,220600000.0,26710.0,0.1
18,nickiminaj,female,entertainment,6400.0,206800000.0,6440.0,0.8
19,kourtneykardash,female,entertainment,4400.0,206200000.0,4420.0,0.8
20,kendalljenner,male,entertainment,824000.0,204400000.0,824000.0,2.5
21,neymarjr,male,"Health, Sports & Fitness",5400.0,196200000.0,5390.0,1.5
22,natgeo,male,"Health, Sports & Fitness",26000.0,196100000.0,26020.0,0.1
23,mileycyrus,female,entertainment,1200.0,189900000.0,1180.0,0.5
24,katyperry,female,entertainment,2100.0,179800000.0,2090.0,0.3
25,zendaya,female,entertainment,3500.0,161800000.0,3540.0,4.1
26,kevinhart4real,male,entertainment,8400.0,157600000.0,8400.0,0.2
27,iamcardib,male,entertainment,1600.0,145600000.0,1650.0,1.8
28,ddlovato,female,entertainment,68000.0,143500000.0,68000.0,0.3
29,badgalriri,female,entertainment,4900.0,139200000.0,4860.0,2.7
30,kingjames,male,"Health, Sports & Fitness",2400.0,139200000.0,2410.0,0.9
31,champagnepapi,male,entertainment,297000.0,127600000.0,297000.0,1.2
32,theellenshow,female,entertainment,10700.0,127100000.0,10750.0,0.1
33,chrisbrownofficial,male,entertainment,7500.0,125500000.0,7450.0,0.3
34,realmadrid,community,"Health, Sports & Fitness",6500.0,120900000.0,6530.0,0.6
35,fcbarcelona,community,"Health, Sports & Fitness",17600.0,113600000.0,17560.0,0.8
36,billieeilish,female,entertainment,737000.0,107400000.0,737000.0,5.9
37,championsleague,male,"Health, Sports & Fitness",18900.0,99900000.0,18950.0,0.4
38,gal_gadot,male,entertainment,1700.0,91600000.0,1710.0,1.2
39,dualipa,female,entertainment,1400.0,87500000.0,1390.0,2.4
40,k.mbappe,male,"Health, Sports & Fitness",1200.0,87200000.0,1200.0,3.4
41,nasa,community,technology,3700.0,85800000.0,3690.0,1.1
42,lalalalisa_m,female,entertainment,900.0,85500000.0,930.0,8.1
43,vindiesel,male,entertainment,1800.0,84900000.0,1840.0,1.2
44,priyankachopra,female,entertainment,3600.0,83900000.0,3610.0,1.2
45,khaby00,male,entertainment,317000.0,80200000.0,317000.0,8.1
46,shakira,female,entertainment,2000.0,77700000.0,2040.0,1.0
47,snoopdogg,male,entertainment,55300.0,77600000.0,55250.0,0.2
48,shraddhakapoor,female,entertainment,1900.0,76700000.0,1910.0,1.6
49,gigihadid,female,fashion,3300.0,76400000.0,3290.0,3.4
